time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,0,15,15,15,0,0,0,0,0,15
2,0,15,15,15,0,0,0,0,0,15
3,0,15,15,15,0,0,0,0,0,15
4,0,15,15,15,0,0,0,0,0,15
5,18,15,15,15,18,18,18,18,18,15
6,18,15,15,15,18,18,18,18,18,15
7,14,15,15,15,14,14,14,14,14,15
8,11,15,15,15,11,11,11,11,11,15
9,18,15,15,15,18,18,18,18,18,15
10,14,15,15,15,14,14,14,14,14,15
11,11,15,15,15,11,11,11,11,11,15
12,23,15,15,15,23,23,23,23,23,15
13,19,15,15,15,19,19,19,19,19,15
14,16,15,15,15,16,16,16,16,16,15
15,19,15,15,15,19,19,19,19,19,15
16,16,15,15,15,16,16,16,16,16,15
17,13,15,15,15,13,13,13,13,13,15
18,16,15,15,15,16,16,16,16,16,15
19,13,15,15,15,13,13,13,13,13,15
20,10,15,15,15,10,10,10,10,10,15
21,16,15,15,15,16,16,16,16,16,15
22,13,15,15,15,13,13,13,13,13,15
23,10,15,15,15,10,10,10,10,10,15
24,18,15,15,15,18,18,18,18,18,15
25,14,15,15,15,14,14,14,14,14,15
26,11,15,15,15,11,11,11,11,11,15
27,18,15,15,15,18,18,18,18,18,15
28,14,15,15,15,14,14,14,14,14,15
29,11,15,15,15,11,11,11,11,11,15
30,30,15,15,15,30,30,30,30,30,15
31,26,27,27,27,26,26,26,26,26,27
32,23,27,27,27,23,23,23,23,23,27
33,26,27,27,27,26,26,26,26,26,27
34,23,27,27,27,23,23,23,23,23,27
35,18,27,27,27,18,18,18,18,18,27
36,23,27,27,27,23,23,23,23,23,27
37,19,20,20,20,19,19,19,19,19,20
38,16,20,20,20,16,16,16,16,16,20
39,23,20,20,20,23,23,23,23,23,20
40,19,20,20,20,19,19,19,19,19,20
41,16,20,20,20,16,16,16,16,16,20
42,28,20,20,20,28,28,28,28,28,20
43,25,25,25,25,25,25,25,25,25,25
44,21,25,25,25,21,21,21,21,21,25
45,25,25,25,25,25,25,25,25,25,25
46,21,25,25,25,21,21,21,21,21,25
47,16,25,25,25,16,16,16,16,16,25
48,21,25,25,25,21,21,21,21,21,25
49,18,18,18,18,18,18,18,18,18,18
50,14,18,18,18,14,14,14,14,14,18
51,21,18,18,18,21,21,21,21,21,18
52,18,18,18,18,18,18,18,18,18,18
53,14,18,18,18,14,14,14,14,14,18
54,26,18,18,18,26,26,26,26,26,18
55,23,23,23,23,23,23,23,23,23,23
56,19,23,23,23,19,19,19,19,19,23
57,23,23,23,23,23,23,23,23,23,23
58,19,20,20,20,19,19,19,19,19,20
59,16,20,20,20,16,16,16,16,16,20
60,28,20,20,20,28,28,28,28,28,20
61,25,25,25,25,25,25,25,25,25,25
62,21,25,25,25,21,21,21,21,21,25
63,25,25,25,25,25,25,25,25,25,25
64,21,22,22,22,21,21,21,21,21,22
65,18,22,22,22,18,18,18,18,18,22
66,30,22,22,22,30,30,30,30,30,22
67,26,27,27,27,26,26,26,26,26,27
68,23,27,27,27,23,23,23,23,23,27
69,26,27,27,27,26,26,26,26,26,27
70,23,15,15,15,23,23,23,23,23,15
71,19,15,15,15,19,19,19,19,19,15
72,31,15,15,15,31,31,31,31,31,15
73,28,17,17,17,28,28,28,28,28,17
74,25,17,17,17,25,25,25,25,25,17
75,28,17,17,17,28,28,28,28,28,17
76,25,13,13,13,25,25,25,25,25,13
77,21,13,13,13,21,21,21,21,21,13
78,33,13,13,13,33,33,33,33,33,13
79,30,18,18,18,30,30,30,30,30,18
80,26,18,18,18,26,26,26,26,26,18
81,30,18,18,18,30,30,30,30,30,18
82,26,17,17,17,26,26,26,26,26,17
83,21,17,17,17,21,21,21,21,21,17
84,30,17,17,17,30,30,30,30,30,17
85,26,15,15,15,26,26,26,26,26,15
86,23,15,15,15,23,23,23,23,23,15
87,26,15,15,15,26,26,26,26,26,15
88,23,13,13,13,23,23,23,23,23,13
89,18,13,13,13,18,18,18,18,18,13
90,26,13,13,13,26,26,26,26,26,13
91,23,11,11,11,23,23,23,23,23,11
92,19,11,11,11,19,19,19,19,19,11
93,23,11,11,11,23,23,23,23,23,11
94,19,10,10,10,19,19,19,19,19,10
95,14,10,10,10,14,14,14,14,14,10
96,23,10,10,10,23,23,23,23,23,10
97,19,8,8,8,19,19,19,19,19,8
98,16,8,8,8,16,16,16,16,16,8
99,19,8,8,8,19,19,19,19,19,8
100,16,6,6,6,16,16,16,16,16,6
101,11,6,6,6,11,11,11,11,11,6
102,19,6,6,6,19,19,19,19,19,6
103,16,5,5,5,16,16,16,16,16,5
104,9,5,5,5,9,9,9,9,9,5
105,19,5,5,5,19,19,19,19,19,5
106,16,1,1,1,16,16,16,16,16,1
107,13,1,1,1,13,13,13,13,13,1
108,19,1,1,1,19,19,19,19,19,1
109,18,6,6,6,18,18,18,18,18,6
110,14,6,6,6,14,14,14,14,14,6
111,18,6,6,6,18,18,18,18,18,6
112,14,10,10,10,14,14,14,14,14,10
113,9,10,10,10,9,9,9,9,9,10
114,14,10,10,10,14,14,14,14,14,10
115,11,11,11,11,11,11,11,11,11,11
116,7,11,11,11,7,7,7,7,7,11
117,14,11,11,11,14,14,14,14,14,11
118,9,13,13,13,9,9,9,9,9,13
119,7,13,13,13,7,7,7,7,7,13
120,13,13,13,13,13,13,13,13,13,13
121,9,6,6,6,9,9,9,9,9,6
122,6,6,6,6,6,6,6,6,6,6
123,14,6,6,6,14,14,14,14,14,6
124,9,6,6,6,9,9,9,9,9,6
125,6,6,6,6,6,6,6,6,6,6
126,9,6,6,6,9,9,9,9,9,6
127,6,0,0,0,6,6,6,6,6,0
128,2,0,0,0,2,2,2,2,2,0
129,9,0,0,0,9,9,9,9,9,0
130,6,16,16,16,6,6,6,6,6,16
131,2,16,16,16,2,2,2,2,2,16
132,9,16,16,16,9,9,9,9,9,16
133,6,15,15,15,6,6,6,6,6,15
134,3,15,15,15,3,3,3,3,3,15
135,9,15,15,15,9,9,9,9,9,15
136,6,13,13,13,6,6,6,6,6,13
137,3,13,13,13,3,3,3,3,3,13
138,12,13,13,13,12,12,12,12,12,13
139,6,11,11,11,6,6,6,6,6,11
140,3,11,11,11,3,3,3,3,3,11
141,11,11,11,11,11,11,11,11,11,11
142,6,10,10,10,6,6,6,6,6,10
143,3,10,10,10,3,3,3,3,3,10
144,9,10,10,10,9,9,9,9,9,10
145,7,8,8,8,7,7,7,7,7,8
146,4,8,8,8,4,4,4,4,4,8
147,11,8,8,8,11,11,11,11,11,8
148,7,11,11,11,7,7,7,7,7,11
149,4,11,11,11,4,4,4,4,4,11
150,11,11,11,11,11,11,11,11,11,11
151,7,13,13,13,7,7,7,7,7,13
152,4,13,13,13,4,4,4,4,4,13
153,13,13,13,13,13,13,13,13,13,13
154,7,15,15,15,7,7,7,7,7,15
155,4,15,15,15,4,4,4,4,4,15
156,15,15,15,15,15,15,15,15,15,15
157,7,16,16,16,7,7,7,7,7,16
158,4,16,16,16,4,4,4,4,4,16
159,16,16,16,16,16,16,16,16,16,16
160,11,11,11,11,11,11,11,11,11,11
161,7,11,11,11,7,7,7,7,7,11
162,16,11,11,11,16,16,16,16,16,11
163,12,13,13,13,12,12,12,12,12,13
164,6,13,13,13,6,6,6,6,6,13
165,16,13,13,13,16,16,16,16,16,13
166,11,15,15,15,11,11,11,11,11,15
167,6,15,15,15,6,6,6,6,6,15
168,15,15,15,15,15,15,15,15,15,15
169,11,8,8,8,11,11,11,11,11,8
170,7,8,8,8,7,7,7,7,7,8
